fips,year,scenario,gcm,TXx
06001,2055,ssp585,ACCESS-CM2,34.65655517578125
06003,2055,ssp585,ACCESS-CM2,39.709869384765625
06005,2055,ssp585,ACCESS-CM2,45.2414436340332
06007,2055,ssp585,ACCESS-CM2,47.51192092895508
06009,2055,ssp585,ACCESS-CM2,47.26671600341797
06011,2055,ssp585,ACCESS-CM2,44.272743225097656
06013,2055,ssp585,ACCESS-CM2,36.772064208984375
06015,2055,ssp585,ACCESS-CM2,31.07884979248047
06017,2055,ssp585,ACCESS-CM2,45.143123626708984
06019,2055,ssp585,ACCESS-CM2,43.27666091918945
06021,2055,ssp585,ACCESS-CM2,42.91487121582031
06023,2055,ssp585,ACCESS-CM2,29.57598876953125
06025,2055,ssp585,ACCESS-CM2,49.5010986328125
06027,2055,ssp585,ACCESS-CM2,48.26496887207031
06029,2055,ssp585,ACCESS-CM2,42.504573822021484
06031,2055,ssp585,ACCESS-CM2,45.19175338745117
06033,2055,ssp585,ACCESS-CM2,38.92981719970703
06035,2055,ssp585,ACCESS-CM2,43.823333740234375
06037,2055,ssp585,ACCESS-CM2,35.96416473388672
06039,2055,ssp585,ACCESS-CM2,45.680442810058594
06041,2055,ssp585,ACCESS-CM2,32.20024490356445
06043,2055,ssp585,ACCESS-CM2,46.600467681884766
06045,2055,ssp585,ACCESS-CM2,34.6765022277832
06047,2055,ssp585,ACCESS-CM2,44.95121765136719
06049,2055,ssp585,ACCESS-CM2,43.97614669799805
06051,2055,ssp585,ACCESS-CM2,41.17023849487305
06053,2055,ssp585,ACCESS-CM2,33.430885314941406
06055,2055,ssp585,ACCESS-CM2,38.215614318847656
06057,2055,ssp585,ACCESS-CM2,44.80511474609375
06059,2055,ssp585,ACCESS-CM2,37.50507354736328
06061,2055,ssp585,ACCESS-CM2,45.64011764526367
06063,2055,ssp585,ACCESS-CM2,43.13088607788086
06065,2055,ssp585,ACCESS-CM2,45.50050354003906
06067,2055,ssp585,ACCESS-CM2,47.073265075683594
06069,2055,ssp585,ACCESS-CM2,37.54776382446289
06071,2055,ssp585,ACCESS-CM2,47.97372055053711
06073,2055,ssp585,ACCESS-CM2,39.21041488647461
06075,2055,ssp585,ACCESS-CM2,31.503662109375
06077,2055,ssp585,ACCESS-CM2,45.16773223876953
06079,2055,ssp585,ACCESS-CM2,34.62797927856445
06081,2055,ssp585,ACCESS-CM2,29.180288314819336
06083,2055,ssp585,ACCESS-CM2,31.622486114501953
06085,2055,ssp585,ACCESS-CM2,34.37558364868164
06087,2055,ssp585,ACCESS-CM2,31.22149658203125
06089,2055,ssp585,ACCESS-CM2,44.24110794067383
06091,2055,ssp585,ACCESS-CM2,43.07984161376953
06093,2055,ssp585,ACCESS-CM2,37.813621520996094
06095,2055,ssp585,ACCESS-CM2,38.66948699951172
06097,2055,ssp585,ACCESS-CM2,35.10014343261719
06099,2055,ssp585,ACCESS-CM2,45.10038375854492
06101,2055,ssp585,ACCESS-CM2,47.35365676879883
06103,2055,ssp585,ACCESS-CM2,44.299007415771484
06105,2055,ssp585,ACCESS-CM2,34.8847770690918
06107,2055,ssp585,ACCESS-CM2,43.931949615478516
06109,2055,ssp585,ACCESS-CM2,42.339927673339844
06111,2055,ssp585,ACCESS-CM2,33.282596588134766
06113,2055,ssp585,ACCESS-CM2,43.892555236816406
06115,2055,ssp585,ACCESS-CM2,49.45068359375
48001,2055,ssp585,ACCESS-CM2,44.93157196044922
48003,2055,ssp585,ACCESS-CM2,43.55376052856445
48005,2055,ssp585,ACCESS-CM2,43.79005432128906
48007,2055,ssp585,ACCESS-CM2,39.559356689453125
48009,2055,ssp585,ACCESS-CM2,47.046905517578125
48011,2055,ssp585,ACCESS-CM2,42.66668701171875
48013,2055,ssp585,ACCESS-CM2,44.65449142456055
48015,2055,ssp585,ACCESS-CM2,43.98299026489258
48017,2055,ssp585,ACCESS-CM2,42.46678924560547
48019,2055,ssp585,ACCESS-CM2,43.86370849609375
48021,2055,ssp585,ACCESS-CM2,44.84033203125
48023,2055,ssp585,ACCESS-CM2,47.154632568359375
48025,2055,ssp585,ACCESS-CM2,42.02180099487305
48027,2055,ssp585,ACCESS-CM2,45.193077087402344
48029,2055,ssp585,ACCESS-CM2,44.359474182128906
48031,2055,ssp585,ACCESS-CM2,44.00390625
48033,2055,ssp585,ACCESS-CM2,44.74269104003906
48035,2055,ssp585,ACCESS-CM2,45.9234619140625
48037,2055,ssp585,ACCESS-CM2,44.05896759033203
48039,2055,ssp585,ACCESS-CM2,39.33461380004883
48041,2055,ssp585,ACCESS-CM2,45.83001708984375
48043,2055,ssp585,ACCESS-CM2,44.96548080444336
48045,2055,ssp585,ACCESS-CM2,42.95020294189453
48047,2055,ssp585,ACCESS-CM2,43.35570526123047
48049,2055,ssp585,ACCESS-CM2,45.654563903808594
48051,2055,ssp585,ACCESS-CM2,45.771636962890625
48053,2055,ssp585,ACCESS-CM2,44.73018264770508
48055,2055,ssp585,ACCESS-CM2,44.42140197753906
48057,2055,ssp585,ACCESS-CM2,39.88525390625
48059,2055,ssp585,ACCESS-CM2,45.36708450317383
48061,2055,ssp585,ACCESS-CM2,40.857933044433594
48065,2055,ssp585,ACCESS-CM2,42.593231201171875
48067,2055,ssp585,ACCESS-CM2,43.92637252807617
48069,2055,ssp585,ACCESS-CM2,42.72657012939453
48071,2055,ssp585,ACCESS-CM2,39.238773345947266
48073,2055,ssp585,ACCESS-CM2,44.405784606933594
48075,2055,ssp585,ACCESS-CM2,45.399566650390625
48077,2055,ssp585,ACCESS-CM2,46.897342681884766
48079,2055,ssp585,ACCESS-CM2,42.24366760253906
48081,2055,ssp585,ACCESS-CM2,45.47271728515625
48083,2055,ssp585,ACCESS-CM2,45.42595672607422
48085,2055,ssp585,ACCESS-CM2,44.39301681518555
48087,2055,ssp585,ACCESS-CM2,44.22637939453125
48089,2055,ssp585,ACCESS-CM2,44.6707878112793
48091,2055,ssp585,ACCESS-CM2,43.916717529296875
48093,2055,ssp585,ACCESS-CM2,45.810150146484375
48095,2055,ssp585,ACCESS-CM2,44.87714385986328
48097,2055,ssp585,ACCESS-CM2,45.0491943359375
48099,2055,ssp585,ACCESS-CM2,45.58052444458008
48101,2055,ssp585,ACCESS-CM2,45.996803283691406
48103,2055,ssp585,ACCESS-CM2,44.15784454345703
48105,2055,ssp585,ACCESS-CM2,44.3310661315918
48107,2055,ssp585,ACCESS-CM2,43.666534423828125
48109,2055,ssp585,ACCESS-CM2,44.69655990600586
48111,2055,ssp585,ACCESS-CM2,42.48924255371094
48113,2055,ssp585,ACCESS-CM2,45.039329528808594
48115,2055,ssp585,ACCESS-CM2,43.688316345214844
48117,2055,ssp585,ACCESS-CM2,42.3194465637207
48119,2055,ssp585,ACCESS-CM2,43.837066650390625
48121,2055,ssp585,ACCESS-CM2,45.27164840698242
48123,2055,ssp585,ACCESS-CM2,43.09758377075195
48125,2055,ssp585,ACCESS-CM2,45.35723876953125
48127,2055,ssp585,ACCESS-CM2,46.36964416503906
48129,2055,ssp585,ACCESS-CM2,43.107994079589844
48131,2055,ssp585,ACCESS-CM2,43.920169830322266
48133,2055,ssp585,ACCESS-CM2,45.64579391479492
48135,2055,ssp585,ACCESS-CM2,43.673980712890625
48137,2055,ssp585,ACCESS-CM2,44.062984466552734
48139,2055,ssp585,ACCESS-CM2,45.014678955078125
48141,2055,ssp585,ACCESS-CM2,45.57378387451172
48143,2055,ssp585,ACCESS-CM2,45.68004608154297
48145,2055,ssp585,ACCESS-CM2,45.50579833984375
48147,2055,ssp585,ACCESS-CM2,43.54050827026367
48149,2055,ssp585,ACCESS-CM2,44.825286865234375
48151,2055,ssp585,ACCESS-CM2,46.28626251220703
48153,2055,ssp585,ACCESS-CM2,42.86773681640625
48155,2055,ssp585,ACCESS-CM2,46.78023147583008
48157,2055,ssp585,ACCESS-CM2,41.75666809082031
48161,2055,ssp585,ACCESS-CM2,45.354270935058594
48163,2055,ssp585,ACCESS-CM2,45.471221923828125
48165,2055,ssp585,ACCESS-CM2,43.13382339477539
48167,2055,ssp585,ACCESS-CM2,39.07698059082031
48169,2055,ssp585,ACCESS-CM2,45.035621643066406
48171,2055,ssp585,ACCESS-CM2,43.70940017700195
48173,2055,ssp585,ACCESS-CM2,44.40739440917969
48175,2055,ssp585,ACCESS-CM2,41.77154541015625
48177,2055,ssp585,ACCESS-CM2,44.45783233642578
48179,2055,ssp585,ACCESS-CM2,42.95695495605469
48181,2055,ssp585,ACCESS-CM2,44.31876754760742
48183,2055,ssp585,ACCESS-CM2,43.99737548828125
48185,2055,ssp585,ACCESS-CM2,44.901824951171875
48187,2055,ssp585,ACCESS-CM2,44.253997802734375
48189,2055,ssp585,ACCESS-CM2,42.31476593017578
48191,2055,ssp585,ACCESS-CM2,44.375244140625
48193,2055,ssp585,ACCESS-CM2,45.54857635498047
48195,2055,ssp585,ACCESS-CM2,42.56305694580078
48197,2055,ssp585,ACCESS-CM2,46.49461364746094
48199,2055,ssp585,ACCESS-CM2,41.29249572753906
48201,2055,ssp585,ACCESS-CM2,41.431358337402344
48203,2055,ssp585,ACCESS-CM2,43.67510223388672
48205,2055,ssp585,ACCESS-CM2,43.20009231567383
48207,2055,ssp585,ACCESS-CM2,47.292266845703125
48209,2055,ssp585,ACCESS-CM2,43.95988464355469
48211,2055,ssp585,ACCESS-CM2,42.976158142089844
48213,2055,ssp585,ACCESS-CM2,44.59782409667969
48215,2055,ssp585,ACCESS-CM2,42.878055572509766
48217,2055,ssp585,ACCESS-CM2,45.5938720703125
48219,2055,ssp585,ACCESS-CM2,42.220855712890625
48221,2055,ssp585,ACCESS-CM2,45.93006896972656
48223,2055,ssp585,ACCESS-CM2,43.68553161621094
48225,2055,ssp585,ACCESS-CM2,44.73671340942383
48227,2055,ssp585,ACCESS-CM2,44.770484924316406
48229,2055,ssp585,ACCESS-CM2,45.06301498413086
48231,2055,ssp585,ACCESS-CM2,43.71332550048828
48233,2055,ssp585,ACCESS-CM2,42.99930953979492
48235,2055,ssp585,ACCESS-CM2,44.477569580078125
